package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_8x8,dqn_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,first_key_global_step,1,176.0,176.0,176.0,176.0
minimum,doorkey_8x8,dqn_1step,first_door_global_step,1,2700.0,2700.0,2700.0,2700.0
minimum,doorkey_8x8,dqn_1step,first_success_global_step,1,17650.0,17650.0,17650.0,17650.0
minimum,doorkey_8x8,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_nstep,final_success_rate,1,0.54,0.54,0.54,0.54
minimum,doorkey_8x8,dqn_nstep,best_success_rate,1,0.56,0.56,0.56,0.56
minimum,doorkey_8x8,dqn_nstep,success_rate_auc,1,0.0852,0.0852,0.0852,0.0852
minimum,doorkey_8x8,dqn_nstep,first_key_global_step,1,176.0,176.0,176.0,176.0
minimum,doorkey_8x8,dqn_nstep,first_door_global_step,1,2700.0,2700.0,2700.0,2700.0
minimum,doorkey_8x8,dqn_nstep,first_success_global_step,1,17727.0,17727.0,17727.0,17727.0
minimum,doorkey_8x8,dqn_nstep,post_discovery_to_50_success,1,872273.0,872273.0,872273.0,872273.0
minimum,doorkey_8x8,dqn_ride_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,first_key_global_step,1,176.0,176.0,176.0,176.0
minimum,doorkey_8x8,dqn_ride_1step,first_door_global_step,1,2700.0,2700.0,2700.0,2700.0
minimum,doorkey_8x8,dqn_ride_1step,first_success_global_step,1,24107.0,24107.0,24107.0,24107.0
minimum,doorkey_8x8,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_nstep,final_success_rate,1,0.47,0.47,0.47,0.47
minimum,doorkey_8x8,dqn_ride_nstep,best_success_rate,1,0.75,0.75,0.75,0.75
minimum,doorkey_8x8,dqn_ride_nstep,success_rate_auc,1,0.15855,0.15855,0.15855,0.15855
minimum,doorkey_8x8,dqn_ride_nstep,first_key_global_step,1,176.0,176.0,176.0,176.0
minimum,doorkey_8x8,dqn_ride_nstep,first_door_global_step,1,2700.0,2700.0,2700.0,2700.0
minimum,doorkey_8x8,dqn_ride_nstep,first_success_global_step,1,22997.0,22997.0,22997.0,22997.0
minimum,doorkey_8x8,dqn_ride_nstep,post_discovery_to_50_success,1,737003.0,737003.0,737003.0,737003.0
