package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_8x8,dqn_1step,final_success_rate,4,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,best_success_rate,4,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,success_rate_auc,4,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,first_key_global_step,4,238.5,235.0,152.0,328.5
minimum,doorkey_8x8,dqn_1step,first_door_global_step,4,5063.5,2467.5,866.0,11362.25
minimum,doorkey_8x8,dqn_1step,first_success_global_step,4,21405.5,16138.0,13261.25,34817.25
minimum,doorkey_8x8,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_nstep,final_success_rate,4,0.0475,0.0,0.0,0.14250000000000002
minimum,doorkey_8x8,dqn_nstep,best_success_rate,4,0.14,0.135,0.0,0.28
minimum,doorkey_8x8,dqn_nstep,success_rate_auc,4,0.0252125,0.025025,0.0,0.050425
minimum,doorkey_8x8,dqn_nstep,first_key_global_step,4,238.5,235.0,152.0,328.5
minimum,doorkey_8x8,dqn_nstep,first_door_global_step,4,5077.5,2943.0,866.0,10538.0
minimum,doorkey_8x8,dqn_nstep,first_success_global_step,4,45153.75,45559.5,28700.5,61607.0
minimum,doorkey_8x8,dqn_nstep,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_1step,final_success_rate,4,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,best_success_rate,4,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,success_rate_auc,4,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,first_key_global_step,4,238.5,235.0,152.0,328.5
minimum,doorkey_8x8,dqn_ride_1step,first_door_global_step,4,4729.25,3970.0,866.0,8592.5
minimum,doorkey_8x8,dqn_ride_1step,first_success_global_step,4,19658.75,15469.5,7113.25,36393.5
minimum,doorkey_8x8,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_nstep,final_success_rate,4,0.04000000000000001,0.01,0.0025,0.10750000000000001
minimum,doorkey_8x8,dqn_ride_nstep,best_success_rate,4,0.21500000000000002,0.1,0.0725,0.47250000000000003
minimum,doorkey_8x8,dqn_ride_nstep,success_rate_auc,4,0.044649999999999995,0.0063750000000000005,0.0047875,0.1227875
minimum,doorkey_8x8,dqn_ride_nstep,first_key_global_step,4,238.5,235.0,152.0,328.5
minimum,doorkey_8x8,dqn_ride_nstep,first_door_global_step,4,4639.75,2067.5,866.0,10538.0
minimum,doorkey_8x8,dqn_ride_nstep,first_success_global_step,4,29065.0,25141.5,13953.0,44340.25
minimum,doorkey_8x8,dqn_ride_nstep,post_discovery_to_50_success,1,706142.0,706142.0,706142.0,706142.0
