run_dir,run_id,algorithm,package,env_id,seed,final_checkpoint_step,final_success_rate,final_return_ext_mean,best_success_rate,success_rate_auc,first_key_global_step,first_door_global_step,first_room_global_step,first_success_global_step,train_success_episodes,episode_count,post_discovery_to_25_success,post_discovery_to_50_success,post_discovery_to_75_success
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed1,dqn_1step_doorkey_8x8_seed1,dqn_1step,minimum,doorkey_8x8,1,1000000,0.0,0.0,0.0,0.0,242.0,3763.0,16912.0,17171.0,390,1738,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed2,dqn_1step_doorkey_8x8_seed2,dqn_1step,minimum,doorkey_8x8,2,1000000,0.0,0.0,0.0,0.0,228.0,560.0,31065.0,41388.0,306,1699,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed3,dqn_1step_doorkey_8x8_seed3,dqn_1step,minimum,doorkey_8x8,3,1000000,0.0,0.0,0.0,0.0,362.0,1172.0,6224.0,11958.0,337,1718,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed4,dqn_1step_doorkey_8x8_seed4,dqn_1step,minimum,doorkey_8x8,4,1000000,0.0,0.0,0.0,0.0,122.0,14759.0,14820.0,15105.0,198,1642,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed1,dqn_nstep_doorkey_8x8_seed1,dqn_nstep,minimum,doorkey_8x8,1,1000000,0.19,0.18465625,0.27,0.05005,242.0,13864.0,20937.0,63313.0,2137,3120,886687.0,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed2,dqn_nstep_doorkey_8x8_seed2,dqn_nstep,minimum,doorkey_8x8,2,1000000,0.0,0.0,0.0,0.0,228.0,560.0,31124.0,31218.0,59,1583,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed3,dqn_nstep_doorkey_8x8_seed3,dqn_nstep,minimum,doorkey_8x8,3,1000000,0.0,0.0,0.29,0.0508,362.0,1172.0,6224.0,26183.0,1978,2918,763817.0,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed4,dqn_nstep_doorkey_8x8_seed4,dqn_nstep,minimum,doorkey_8x8,4,1000000,0.0,0.0,0.0,0.0,122.0,4714.0,24247.0,59901.0,47,1579,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_1step/seed1,dqn_ride_1step_doorkey_8x8_seed1,dqn_ride_1step,minimum,doorkey_8x8,1,1000000,0.0,0.0,0.0,0.0,242.0,10417.0,15042.0,15152.0,137,1612,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_1step/seed2,dqn_ride_1step_doorkey_8x8_seed2,dqn_ride_1step,minimum,doorkey_8x8,2,1000000,0.0,0.0,0.0,0.0,228.0,560.0,15480.0,15787.0,301,1703,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_1step/seed3,dqn_ride_1step_doorkey_8x8_seed3,dqn_ride_1step,minimum,doorkey_8x8,3,1000000,0.0,0.0,0.0,0.0,362.0,1172.0,4157.0,4222.0,348,1714,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_1step/seed4,dqn_ride_1step_doorkey_8x8_seed4,dqn_ride_1step,minimum,doorkey_8x8,4,1000000,0.0,0.0,0.0,0.0,122.0,6768.0,6800.0,43474.0,203,1643,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_nstep/seed1,dqn_ride_nstep_doorkey_8x8_seed1,dqn_ride_nstep,minimum,doorkey_8x8,1,1000000,0.0,0.0,0.11,0.0064,242.0,13864.0,17160.0,34496.0,1107,2222,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_nstep/seed2,dqn_ride_nstep_doorkey_8x8_seed2,dqn_ride_nstep,minimum,doorkey_8x8,2,1000000,0.01,0.0098453125,0.09,0.00425,228.0,560.0,15480.0,15787.0,687,1941,,,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_nstep/seed3,dqn_ride_nstep_doorkey_8x8_seed3,dqn_ride_nstep,minimum,doorkey_8x8,3,1000000,0.14,0.13656875,0.6,0.1616,362.0,1172.0,6224.0,53858.0,5387,6047,546142.0,706142.0,
outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_ride_nstep/seed4,dqn_ride_nstep_doorkey_8x8_seed4,dqn_ride_nstep,minimum,doorkey_8x8,4,1000000,0.01,0.00983125,0.06,0.00635,122.0,2963.0,2984.0,12119.0,850,2074,,,
