package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_6x6,dqn_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_1step,first_key_global_step,0,,,,
minimum,doorkey_6x6,dqn_1step,first_door_global_step,0,,,,
minimum,doorkey_6x6,dqn_1step,first_success_global_step,0,,,,
minimum,doorkey_6x6,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_6x6,dqn_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_nstep,first_key_global_step,0,,,,
minimum,doorkey_6x6,dqn_nstep,first_door_global_step,0,,,,
minimum,doorkey_6x6,dqn_nstep,first_success_global_step,0,,,,
minimum,doorkey_6x6,dqn_nstep,post_discovery_to_50_success,0,,,,
minimum,doorkey_6x6,dqn_ride_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_ride_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_ride_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_ride_1step,first_key_global_step,0,,,,
minimum,doorkey_6x6,dqn_ride_1step,first_door_global_step,0,,,,
minimum,doorkey_6x6,dqn_ride_1step,first_success_global_step,0,,,,
minimum,doorkey_6x6,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_6x6,dqn_ride_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_ride_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_ride_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_ride_nstep,first_key_global_step,0,,,,
minimum,doorkey_6x6,dqn_ride_nstep,first_door_global_step,0,,,,
minimum,doorkey_6x6,dqn_ride_nstep,first_success_global_step,0,,,,
minimum,doorkey_6x6,dqn_ride_nstep,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,first_key_global_step,1,273.0,273.0,273.0,273.0
minimum,doorkey_8x8,dqn_ride_nstep,first_door_global_step,1,6178.0,6178.0,6178.0,6178.0
minimum,doorkey_8x8,dqn_ride_nstep,first_success_global_step,1,8261.0,8261.0,8261.0,8261.0
minimum,doorkey_8x8,dqn_ride_nstep,post_discovery_to_50_success,0,,,,
