package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_16x16,dqn_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_1step,first_key_global_step,1,3445.0,3445.0,3445.0,3445.0
minimum,doorkey_16x16,dqn_1step,first_door_global_step,1,87404.0,87404.0,87404.0,87404.0
minimum,doorkey_16x16,dqn_1step,first_success_global_step,1,137323.0,137323.0,137323.0,137323.0
minimum,doorkey_16x16,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_16x16,dqn_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_nstep,first_key_global_step,1,1622.0,1622.0,1622.0,1622.0
minimum,doorkey_16x16,dqn_nstep,first_door_global_step,1,24920.0,24920.0,24920.0,24920.0
minimum,doorkey_16x16,dqn_nstep,first_success_global_step,0,,,,
minimum,doorkey_16x16,dqn_nstep,post_discovery_to_50_success,0,,,,
minimum,doorkey_16x16,dqn_ride_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_ride_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_ride_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_ride_1step,first_key_global_step,1,2670.0,2670.0,2670.0,2670.0
minimum,doorkey_16x16,dqn_ride_1step,first_door_global_step,1,25124.0,25124.0,25124.0,25124.0
minimum,doorkey_16x16,dqn_ride_1step,first_success_global_step,0,,,,
minimum,doorkey_16x16,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_16x16,dqn_ride_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_ride_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_ride_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_16x16,dqn_ride_nstep,first_key_global_step,1,5262.0,5262.0,5262.0,5262.0
minimum,doorkey_16x16,dqn_ride_nstep,first_door_global_step,1,36937.0,36937.0,36937.0,36937.0
minimum,doorkey_16x16,dqn_ride_nstep,first_success_global_step,0,,,,
minimum,doorkey_16x16,dqn_ride_nstep,post_discovery_to_50_success,0,,,,
