package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_6x6,dqn_1step,final_success_rate,2,0.0,0.0,0.0,0.0
minimum,doorkey_6x6,dqn_1step,best_success_rate,2,0.19,0.19,0.0,0.38
minimum,doorkey_6x6,dqn_1step,success_rate_auc,2,0.0084,0.0084,0.0,0.0168
minimum,doorkey_6x6,dqn_1step,first_key_global_step,1,5.0,5.0,5.0,5.0
minimum,doorkey_6x6,dqn_1step,first_door_global_step,1,680.0,680.0,680.0,680.0
minimum,doorkey_6x6,dqn_1step,first_success_global_step,1,2642.0,2642.0,2642.0,2642.0
minimum,doorkey_6x6,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_6x6,dqn_nstep,final_success_rate,2,0.48,0.48,0.0,0.96
minimum,doorkey_6x6,dqn_nstep,best_success_rate,2,0.5,0.5,0.0,1.0
minimum,doorkey_6x6,dqn_nstep,success_rate_auc,2,0.3728,0.3728,0.0,0.7456
minimum,doorkey_6x6,dqn_nstep,first_key_global_step,1,5.0,5.0,5.0,5.0
minimum,doorkey_6x6,dqn_nstep,first_door_global_step,1,680.0,680.0,680.0,680.0
minimum,doorkey_6x6,dqn_nstep,first_success_global_step,1,8955.0,8955.0,8955.0,8955.0
minimum,doorkey_6x6,dqn_nstep,post_discovery_to_50_success,1,46045.0,46045.0,46045.0,46045.0
minimum,doorkey_6x6,dqn_ride_1step,final_success_rate,2,0.05,0.05,0.0,0.1
minimum,doorkey_6x6,dqn_ride_1step,best_success_rate,2,0.11,0.11,0.0,0.22
minimum,doorkey_6x6,dqn_ride_1step,success_rate_auc,2,0.0037,0.0037,0.0,0.0074
minimum,doorkey_6x6,dqn_ride_1step,first_key_global_step,1,5.0,5.0,5.0,5.0
minimum,doorkey_6x6,dqn_ride_1step,first_door_global_step,1,680.0,680.0,680.0,680.0
minimum,doorkey_6x6,dqn_ride_1step,first_success_global_step,1,3444.0,3444.0,3444.0,3444.0
minimum,doorkey_6x6,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_6x6,dqn_ride_nstep,final_success_rate,2,0.49,0.49,0.0,0.98
minimum,doorkey_6x6,dqn_ride_nstep,best_success_rate,2,0.5,0.5,0.0,1.0
minimum,doorkey_6x6,dqn_ride_nstep,success_rate_auc,2,0.3659,0.3659,0.0,0.7318
minimum,doorkey_6x6,dqn_ride_nstep,first_key_global_step,1,5.0,5.0,5.0,5.0
minimum,doorkey_6x6,dqn_ride_nstep,first_door_global_step,1,680.0,680.0,680.0,680.0
minimum,doorkey_6x6,dqn_ride_nstep,first_success_global_step,1,3443.0,3443.0,3443.0,3443.0
minimum,doorkey_6x6,dqn_ride_nstep,post_discovery_to_50_success,1,46557.0,46557.0,46557.0,46557.0
minimum,doorkey_8x8,dqn_ride_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,first_key_global_step,1,273.0,273.0,273.0,273.0
minimum,doorkey_8x8,dqn_ride_nstep,first_door_global_step,1,6178.0,6178.0,6178.0,6178.0
minimum,doorkey_8x8,dqn_ride_nstep,first_success_global_step,1,8261.0,8261.0,8261.0,8261.0
minimum,doorkey_8x8,dqn_ride_nstep,post_discovery_to_50_success,0,,,,
