package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_8x8,dqn_1step,final_success_rate,2,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,best_success_rate,2,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,success_rate_auc,2,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,first_key_global_step,2,257.5,257.5,242.0,273.0
minimum,doorkey_8x8,dqn_1step,first_door_global_step,2,1212.5,1212.5,1160.0,1265.0
minimum,doorkey_8x8,dqn_1step,first_success_global_step,2,26694.5,26694.5,21536.0,31853.0
minimum,doorkey_8x8,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_nstep,final_success_rate,2,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_nstep,best_success_rate,2,0.04,0.04,0.0,0.08
minimum,doorkey_8x8,dqn_nstep,success_rate_auc,2,0.00155,0.00155,0.0,0.0031
minimum,doorkey_8x8,dqn_nstep,first_key_global_step,2,257.5,257.5,242.0,273.0
minimum,doorkey_8x8,dqn_nstep,first_door_global_step,2,2586.0,2586.0,1265.0,3907.0
minimum,doorkey_8x8,dqn_nstep,first_success_global_step,2,9001.0,9001.0,4090.0,13912.0
minimum,doorkey_8x8,dqn_nstep,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_1step,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,first_key_global_step,1,273.0,273.0,273.0,273.0
minimum,doorkey_8x8,dqn_ride_1step,first_door_global_step,1,1160.0,1160.0,1160.0,1160.0
minimum,doorkey_8x8,dqn_ride_1step,first_success_global_step,1,27122.0,27122.0,27122.0,27122.0
minimum,doorkey_8x8,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_nstep,final_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,best_success_rate,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,success_rate_auc,1,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,first_key_global_step,1,273.0,273.0,273.0,273.0
minimum,doorkey_8x8,dqn_ride_nstep,first_door_global_step,1,6455.0,6455.0,6455.0,6455.0
minimum,doorkey_8x8,dqn_ride_nstep,first_success_global_step,1,38853.0,38853.0,38853.0,38853.0
minimum,doorkey_8x8,dqn_ride_nstep,post_discovery_to_50_success,0,,,,
