package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_8x8,dqn_1step,final_success_rate,5,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_1step,best_success_rate,5,0.002,0.0,0.0,0.006
minimum,doorkey_8x8,dqn_1step,success_rate_auc,5,6.666666666666667e-05,0.0,0.0,0.0002
minimum,doorkey_8x8,dqn_1step,first_key_global_step,5,245.4,242.0,173.4,311.2
minimum,doorkey_8x8,dqn_1step,first_door_global_step,5,2641.4,1265.0,894.6,5638.4
minimum,doorkey_8x8,dqn_1step,first_success_global_step,5,15259.2,8828.0,7397.2,24993.8
minimum,doorkey_8x8,dqn_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_nstep,final_success_rate,5,0.012,0.0,0.0,0.036
minimum,doorkey_8x8,dqn_nstep,best_success_rate,5,0.066,0.08,0.016,0.11600000000000002
minimum,doorkey_8x8,dqn_nstep,success_rate_auc,5,0.0098,0.010333333333333333,0.0020666666666666667,0.017533333333333335
minimum,doorkey_8x8,dqn_nstep,first_key_global_step,5,245.4,242.0,173.4,311.2
minimum,doorkey_8x8,dqn_nstep,first_door_global_step,5,2778.6,2147.0,1194.8,4467.2
minimum,doorkey_8x8,dqn_nstep,first_success_global_step,5,13110.2,13544.0,4892.4,22637.8
minimum,doorkey_8x8,dqn_nstep,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_1step,final_success_rate,5,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,best_success_rate,5,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,success_rate_auc,5,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_1step,first_key_global_step,5,245.4,242.0,173.4,311.2
minimum,doorkey_8x8,dqn_ride_1step,first_door_global_step,5,4929.0,3638.0,1535.6,8515.8
minimum,doorkey_8x8,dqn_ride_1step,first_success_global_step,5,25380.0,23579.0,20347.4,31236.73999999999
minimum,doorkey_8x8,dqn_ride_1step,post_discovery_to_50_success,0,,,,
minimum,doorkey_8x8,dqn_ride_nstep,final_success_rate,5,0.0,0.0,0.0,0.0
minimum,doorkey_8x8,dqn_ride_nstep,best_success_rate,5,0.012,0.0,0.0,0.036
minimum,doorkey_8x8,dqn_ride_nstep,success_rate_auc,5,0.0012000000000000001,0.0,0.0,0.0036000000000000003
minimum,doorkey_8x8,dqn_ride_nstep,first_key_global_step,5,245.4,242.0,173.4,311.2
minimum,doorkey_8x8,dqn_ride_nstep,first_door_global_step,5,3952.0,3588.0,1895.6,6008.4
minimum,doorkey_8x8,dqn_ride_nstep,first_success_global_step,5,13468.6,8214.0,6036.8,26193.2
minimum,doorkey_8x8,dqn_ride_nstep,post_discovery_to_50_success,0,,,,
