run_dir,run_id,algorithm,package,env_id,seed,final_checkpoint_step,final_success_rate,final_return_ext_mean,best_success_rate,success_rate_auc,first_key_global_step,first_door_global_step,first_room_global_step,first_success_global_step,train_success_episodes,episode_count,post_discovery_to_25_success,post_discovery_to_50_success,post_discovery_to_75_success
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_1step/seed0,dqn_1step_doorkey_8x8_seed0,dqn_1step,minimum,doorkey_8x8,0,300000,0.0,0.0,0.0,0.0,273.0,1160.0,1165.0,21536.0,31,480,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_1step/seed1,dqn_1step_doorkey_8x8_seed1,dqn_1step,minimum,doorkey_8x8,1,300000,0.0,0.0,0.0,0.0,242.0,1265.0,22234.0,31853.0,4,470,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_1step/seed2,dqn_1step_doorkey_8x8_seed2,dqn_1step,minimum,doorkey_8x8,2,300000,0.0,0.0,0.0,0.0,228.0,560.0,1168.0,7874.0,45,489,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_1step/seed3,dqn_1step_doorkey_8x8_seed3,dqn_1step,minimum,doorkey_8x8,3,300000,0.0,0.0,0.0,0.0,362.0,1633.0,1764.0,6205.0,73,504,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_1step/seed4,dqn_1step_doorkey_8x8_seed4,dqn_1step,minimum,doorkey_8x8,4,300000,0.0,0.0,0.01,0.0003333333333333333,122.0,8589.0,8618.0,8828.0,39,486,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_nstep/seed0,dqn_nstep_doorkey_8x8_seed0,dqn_nstep,minimum,doorkey_8x8,0,300000,0.0,0.0,0.08,0.010333333333333333,273.0,3907.0,3946.0,4090.0,70,504,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_nstep/seed1,dqn_nstep_doorkey_8x8_seed1,dqn_nstep,minimum,doorkey_8x8,1,300000,0.0,0.0,0.0,0.0,242.0,1265.0,13722.0,13912.0,4,470,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_nstep/seed2,dqn_nstep_doorkey_8x8_seed2,dqn_nstep,minimum,doorkey_8x8,2,300000,0.0,0.0,0.12,0.017666666666666667,228.0,560.0,1168.0,13544.0,100,527,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_nstep/seed3,dqn_nstep_doorkey_8x8_seed3,dqn_nstep,minimum,doorkey_8x8,3,300000,0.0,0.0,0.0,0.0,362.0,6014.0,8921.0,31729.0,3,470,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_nstep/seed4,dqn_nstep_doorkey_8x8_seed4,dqn_nstep,minimum,doorkey_8x8,4,300000,0.06,0.058270312500000004,0.13,0.021,122.0,2147.0,2154.0,2276.0,381,715,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_1step/seed0,dqn_ride_1step_doorkey_8x8_seed0,dqn_ride_1step,minimum,doorkey_8x8,0,300000,0.0,0.0,0.0,0.0,273.0,1160.0,1165.0,27122.0,14,475,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_1step/seed1,dqn_ride_1step_doorkey_8x8_seed1,dqn_ride_1step,minimum,doorkey_8x8,1,300000,0.0,0.0,0.0,0.0,242.0,8221.0,8279.0,23579.0,3,469,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_1step/seed2,dqn_ride_1step_doorkey_8x8_seed2,dqn_ride_1step,minimum,doorkey_8x8,2,300000,0.0,0.0,0.0,0.0,228.0,560.0,1168.0,17728.0,7,471,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_1step/seed3,dqn_ride_1step_doorkey_8x8_seed3,dqn_ride_1step,minimum,doorkey_8x8,3,300000,0.0,0.0,0.0,0.0,362.0,11066.0,21341.0,21431.0,4,470,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_1step/seed4,dqn_ride_1step_doorkey_8x8_seed4,dqn_ride_1step,minimum,doorkey_8x8,4,300000,0.0,0.0,0.0,0.0,122.0,3638.0,5448.0,37040.0,1,468,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_nstep/seed0,dqn_ride_nstep_doorkey_8x8_seed0,dqn_ride_nstep,minimum,doorkey_8x8,0,300000,0.0,0.0,0.0,0.0,273.0,6455.0,19556.0,38853.0,6,470,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_nstep/seed1,dqn_ride_nstep_doorkey_8x8_seed1,dqn_ride_nstep,minimum,doorkey_8x8,1,300000,0.0,0.0,0.0,0.0,242.0,3588.0,6117.0,6193.0,6,469,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_nstep/seed2,dqn_ride_nstep_doorkey_8x8_seed2,dqn_ride_nstep,minimum,doorkey_8x8,2,300000,0.0,0.0,0.0,0.0,228.0,560.0,1168.0,8214.0,14,472,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_nstep/seed3,dqn_ride_nstep_doorkey_8x8_seed3,dqn_ride_nstep,minimum,doorkey_8x8,3,300000,0.0,0.0,0.06,0.006,362.0,6772.0,8712.0,9129.0,112,534,,,
outputs/pilot_grid/2026-05-29_06-04-00/doorkey_8x8/dqn_ride_nstep/seed4,dqn_ride_nstep_doorkey_8x8_seed4,dqn_ride_nstep,minimum,doorkey_8x8,4,300000,0.0,0.0,0.0,0.0,122.0,2385.0,2502.0,4954.0,4,470,,,
