step,action,action_name,reward,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,False,False,1,9,3,
2,0,left,0.0,False,False,1,9,2,
3,0,left,0.0,False,False,1,9,1,
4,2,forward,0.0,False,False,1,10,1,
5,3,pickup,0.0,False,False,1,10,1,
6,3,pickup,0.0,False,False,1,10,1,
7,3,pickup,0.0,False,False,1,10,1,
8,3,pickup,0.0,False,False,1,10,1,
9,3,pickup,0.0,False,False,1,10,1,
10,3,pickup,0.0,False,False,1,10,1,
11,3,pickup,0.0,False,False,1,10,1,
12,3,pickup,0.0,False,False,1,10,1,
13,3,pickup,0.0,False,False,1,10,1,
14,3,pickup,0.0,False,False,1,10,1,
15,3,pickup,0.0,False,False,1,10,1,
16,3,pickup,0.0,False,False,1,10,1,
17,3,pickup,0.0,False,False,1,10,1,
18,3,pickup,0.0,False,False,1,10,1,
19,3,pickup,0.0,False,False,1,10,1,
20,3,pickup,0.0,False,False,1,10,1,
21,3,pickup,0.0,False,False,1,10,1,
22,3,pickup,0.0,False,False,1,10,1,
23,3,pickup,0.0,False,False,1,10,1,
24,3,pickup,0.0,False,False,1,10,1,
25,3,pickup,0.0,False,False,1,10,1,
26,3,pickup,0.0,False,False,1,10,1,
27,3,pickup,0.0,False,False,1,10,1,
28,3,pickup,0.0,False,False,1,10,1,
29,3,pickup,0.0,False,False,1,10,1,
30,3,pickup,0.0,False,False,1,10,1,
31,3,pickup,0.0,False,False,1,10,1,
32,3,pickup,0.0,False,False,1,10,1,
33,3,pickup,0.0,False,False,1,10,1,
34,3,pickup,0.0,False,False,1,10,1,
35,3,pickup,0.0,False,False,1,10,1,
36,3,pickup,0.0,False,False,1,10,1,
37,3,pickup,0.0,False,False,1,10,1,
38,3,pickup,0.0,False,False,1,10,1,
39,3,pickup,0.0,False,False,1,10,1,
40,3,pickup,0.0,False,False,1,10,1,
41,3,pickup,0.0,False,False,1,10,1,
42,3,pickup,0.0,False,False,1,10,1,
43,3,pickup,0.0,False,False,1,10,1,
44,3,pickup,0.0,False,False,1,10,1,
45,3,pickup,0.0,False,False,1,10,1,
46,3,pickup,0.0,False,False,1,10,1,
47,3,pickup,0.0,False,False,1,10,1,
48,3,pickup,0.0,False,False,1,10,1,
49,3,pickup,0.0,False,False,1,10,1,
50,3,pickup,0.0,False,False,1,10,1,
51,3,pickup,0.0,False,False,1,10,1,
52,3,pickup,0.0,False,False,1,10,1,
53,3,pickup,0.0,False,False,1,10,1,
54,3,pickup,0.0,False,False,1,10,1,
55,3,pickup,0.0,False,False,1,10,1,
56,3,pickup,0.0,False,False,1,10,1,
57,3,pickup,0.0,False,False,1,10,1,
58,3,pickup,0.0,False,False,1,10,1,
59,3,pickup,0.0,False,False,1,10,1,
60,3,pickup,0.0,False,False,1,10,1,
61,3,pickup,0.0,False,False,1,10,1,
62,3,pickup,0.0,False,False,1,10,1,
63,3,pickup,0.0,False,False,1,10,1,
64,3,pickup,0.0,False,False,1,10,1,
65,3,pickup,0.0,False,False,1,10,1,
66,3,pickup,0.0,False,False,1,10,1,
67,3,pickup,0.0,False,False,1,10,1,
68,3,pickup,0.0,False,False,1,10,1,
69,3,pickup,0.0,False,False,1,10,1,
70,3,pickup,0.0,False,False,1,10,1,
71,3,pickup,0.0,False,False,1,10,1,
72,3,pickup,0.0,False,False,1,10,1,
73,3,pickup,0.0,False,False,1,10,1,
74,3,pickup,0.0,False,False,1,10,1,
75,3,pickup,0.0,False,False,1,10,1,
76,3,pickup,0.0,False,False,1,10,1,
77,3,pickup,0.0,False,False,1,10,1,
78,3,pickup,0.0,False,False,1,10,1,
79,3,pickup,0.0,False,False,1,10,1,
80,3,pickup,0.0,False,False,1,10,1,
81,3,pickup,0.0,False,False,1,10,1,
82,3,pickup,0.0,False,False,1,10,1,
83,3,pickup,0.0,False,False,1,10,1,
84,3,pickup,0.0,False,False,1,10,1,
85,3,pickup,0.0,False,False,1,10,1,
86,3,pickup,0.0,False,False,1,10,1,
87,3,pickup,0.0,False,False,1,10,1,
88,3,pickup,0.0,False,False,1,10,1,
89,3,pickup,0.0,False,False,1,10,1,
90,3,pickup,0.0,False,False,1,10,1,
91,3,pickup,0.0,False,False,1,10,1,
92,3,pickup,0.0,False,False,1,10,1,
