step,action,action_name,reward,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,False,False,1,9,3,
2,1,right,0.0,False,False,1,9,0,
3,0,left,0.0,False,False,1,9,3,
4,1,right,0.0,False,False,1,9,0,
5,0,left,0.0,False,False,1,9,3,
6,1,right,0.0,False,False,1,9,0,
7,0,left,0.0,False,False,1,9,3,
8,1,right,0.0,False,False,1,9,0,
9,0,left,0.0,False,False,1,9,3,
10,1,right,0.0,False,False,1,9,0,
11,0,left,0.0,False,False,1,9,3,
12,1,right,0.0,False,False,1,9,0,
13,0,left,0.0,False,False,1,9,3,
14,1,right,0.0,False,False,1,9,0,
15,0,left,0.0,False,False,1,9,3,
16,1,right,0.0,False,False,1,9,0,
17,0,left,0.0,False,False,1,9,3,
18,1,right,0.0,False,False,1,9,0,
19,0,left,0.0,False,False,1,9,3,
20,1,right,0.0,False,False,1,9,0,
21,0,left,0.0,False,False,1,9,3,
22,1,right,0.0,False,False,1,9,0,
23,0,left,0.0,False,False,1,9,3,
24,1,right,0.0,False,False,1,9,0,
25,0,left,0.0,False,False,1,9,3,
26,1,right,0.0,False,False,1,9,0,
27,0,left,0.0,False,False,1,9,3,
28,1,right,0.0,False,False,1,9,0,
29,0,left,0.0,False,False,1,9,3,
30,1,right,0.0,False,False,1,9,0,
31,0,left,0.0,False,False,1,9,3,
32,1,right,0.0,False,False,1,9,0,
33,0,left,0.0,False,False,1,9,3,
34,1,right,0.0,False,False,1,9,0,
35,0,left,0.0,False,False,1,9,3,
36,1,right,0.0,False,False,1,9,0,
37,0,left,0.0,False,False,1,9,3,
38,1,right,0.0,False,False,1,9,0,
39,0,left,0.0,False,False,1,9,3,
40,1,right,0.0,False,False,1,9,0,
41,0,left,0.0,False,False,1,9,3,
42,1,right,0.0,False,False,1,9,0,
43,0,left,0.0,False,False,1,9,3,
44,1,right,0.0,False,False,1,9,0,
45,0,left,0.0,False,False,1,9,3,
46,1,right,0.0,False,False,1,9,0,
47,0,left,0.0,False,False,1,9,3,
48,1,right,0.0,False,False,1,9,0,
49,0,left,0.0,False,False,1,9,3,
50,1,right,0.0,False,False,1,9,0,
51,0,left,0.0,False,False,1,9,3,
52,1,right,0.0,False,False,1,9,0,
53,0,left,0.0,False,False,1,9,3,
54,1,right,0.0,False,False,1,9,0,
55,0,left,0.0,False,False,1,9,3,
56,1,right,0.0,False,False,1,9,0,
57,0,left,0.0,False,False,1,9,3,
58,1,right,0.0,False,False,1,9,0,
59,0,left,0.0,False,False,1,9,3,
60,1,right,0.0,False,False,1,9,0,
61,0,left,0.0,False,False,1,9,3,
62,1,right,0.0,False,False,1,9,0,
63,0,left,0.0,False,False,1,9,3,
64,1,right,0.0,False,False,1,9,0,
65,0,left,0.0,False,False,1,9,3,
66,1,right,0.0,False,False,1,9,0,
67,0,left,0.0,False,False,1,9,3,
68,1,right,0.0,False,False,1,9,0,
69,0,left,0.0,False,False,1,9,3,
70,1,right,0.0,False,False,1,9,0,
71,0,left,0.0,False,False,1,9,3,
72,1,right,0.0,False,False,1,9,0,
73,0,left,0.0,False,False,1,9,3,
74,1,right,0.0,False,False,1,9,0,
75,0,left,0.0,False,False,1,9,3,
76,1,right,0.0,False,False,1,9,0,
77,0,left,0.0,False,False,1,9,3,
78,1,right,0.0,False,False,1,9,0,
79,0,left,0.0,False,False,1,9,3,
80,1,right,0.0,False,False,1,9,0,
81,0,left,0.0,False,False,1,9,3,
82,1,right,0.0,False,False,1,9,0,
83,0,left,0.0,False,False,1,9,3,
84,1,right,0.0,False,False,1,9,0,
85,0,left,0.0,False,False,1,9,3,
86,1,right,0.0,False,False,1,9,0,
87,0,left,0.0,False,False,1,9,3,
88,1,right,0.0,False,False,1,9,0,
89,0,left,0.0,False,False,1,9,3,
90,1,right,0.0,False,False,1,9,0,
91,0,left,0.0,False,False,1,9,3,
92,1,right,0.0,False,False,1,9,0,
93,0,left,0.0,False,False,1,9,3,
94,1,right,0.0,False,False,1,9,0,
95,0,left,0.0,False,False,1,9,3,
96,1,right,0.0,False,False,1,9,0,
97,0,left,0.0,False,False,1,9,3,
98,1,right,0.0,False,False,1,9,0,
99,0,left,0.0,False,False,1,9,3,
100,1,right,0.0,False,False,1,9,0,
101,0,left,0.0,False,False,1,9,3,
102,1,right,0.0,False,False,1,9,0,
103,0,left,0.0,False,False,1,9,3,
104,1,right,0.0,False,False,1,9,0,
105,0,left,0.0,False,False,1,9,3,
106,1,right,0.0,False,False,1,9,0,
107,0,left,0.0,False,False,1,9,3,
108,1,right,0.0,False,False,1,9,0,
109,0,left,0.0,False,False,1,9,3,
110,1,right,0.0,False,False,1,9,0,
111,0,left,0.0,False,False,1,9,3,
112,1,right,0.0,False,False,1,9,0,
113,0,left,0.0,False,False,1,9,3,
114,1,right,0.0,False,False,1,9,0,
115,0,left,0.0,False,False,1,9,3,
116,1,right,0.0,False,False,1,9,0,
117,0,left,0.0,False,False,1,9,3,
118,1,right,0.0,False,False,1,9,0,
119,0,left,0.0,False,False,1,9,3,
120,1,right,0.0,False,False,1,9,0,
121,0,left,0.0,False,False,1,9,3,
122,1,right,0.0,False,False,1,9,0,
123,0,left,0.0,False,False,1,9,3,
124,1,right,0.0,False,False,1,9,0,
125,0,left,0.0,False,False,1,9,3,
126,1,right,0.0,False,False,1,9,0,
127,0,left,0.0,False,False,1,9,3,
128,1,right,0.0,False,False,1,9,0,
129,0,left,0.0,False,False,1,9,3,
130,1,right,0.0,False,False,1,9,0,
131,0,left,0.0,False,False,1,9,3,
132,1,right,0.0,False,False,1,9,0,
133,0,left,0.0,False,False,1,9,3,
134,1,right,0.0,False,False,1,9,0,
135,0,left,0.0,False,False,1,9,3,
136,1,right,0.0,False,False,1,9,0,
137,0,left,0.0,False,False,1,9,3,
138,1,right,0.0,False,False,1,9,0,
139,0,left,0.0,False,False,1,9,3,
140,1,right,0.0,False,False,1,9,0,
141,0,left,0.0,False,False,1,9,3,
142,1,right,0.0,False,False,1,9,0,
143,0,left,0.0,False,False,1,9,3,
144,1,right,0.0,False,False,1,9,0,
145,0,left,0.0,False,False,1,9,3,
146,1,right,0.0,False,False,1,9,0,
147,0,left,0.0,False,False,1,9,3,
148,1,right,0.0,False,False,1,9,0,
149,0,left,0.0,False,False,1,9,3,
150,1,right,0.0,False,False,1,9,0,
151,0,left,0.0,False,False,1,9,3,
152,1,right,0.0,False,False,1,9,0,
153,0,left,0.0,False,False,1,9,3,
154,1,right,0.0,False,False,1,9,0,
155,0,left,0.0,False,False,1,9,3,
156,1,right,0.0,False,False,1,9,0,
157,0,left,0.0,False,False,1,9,3,
158,1,right,0.0,False,False,1,9,0,
