step,action,action_name,reward,done,truncated,agent_x,agent_y,agent_dir,carrying
1,4,drop,0.0,False,False,1,9,0,
2,4,drop,0.0,False,False,1,9,0,
3,4,drop,0.0,False,False,1,9,0,
4,4,drop,0.0,False,False,1,9,0,
5,4,drop,0.0,False,False,1,9,0,
6,4,drop,0.0,False,False,1,9,0,
7,4,drop,0.0,False,False,1,9,0,
8,4,drop,0.0,False,False,1,9,0,
9,4,drop,0.0,False,False,1,9,0,
10,4,drop,0.0,False,False,1,9,0,
11,4,drop,0.0,False,False,1,9,0,
12,4,drop,0.0,False,False,1,9,0,
13,4,drop,0.0,False,False,1,9,0,
14,4,drop,0.0,False,False,1,9,0,
15,4,drop,0.0,False,False,1,9,0,
16,4,drop,0.0,False,False,1,9,0,
17,4,drop,0.0,False,False,1,9,0,
18,4,drop,0.0,False,False,1,9,0,
19,4,drop,0.0,False,False,1,9,0,
20,4,drop,0.0,False,False,1,9,0,
21,4,drop,0.0,False,False,1,9,0,
22,4,drop,0.0,False,False,1,9,0,
23,4,drop,0.0,False,False,1,9,0,
24,4,drop,0.0,False,False,1,9,0,
25,4,drop,0.0,False,False,1,9,0,
26,4,drop,0.0,False,False,1,9,0,
27,4,drop,0.0,False,False,1,9,0,
28,4,drop,0.0,False,False,1,9,0,
29,4,drop,0.0,False,False,1,9,0,
30,4,drop,0.0,False,False,1,9,0,
31,4,drop,0.0,False,False,1,9,0,
32,4,drop,0.0,False,False,1,9,0,
33,4,drop,0.0,False,False,1,9,0,
34,4,drop,0.0,False,False,1,9,0,
35,4,drop,0.0,False,False,1,9,0,
36,4,drop,0.0,False,False,1,9,0,
37,4,drop,0.0,False,False,1,9,0,
38,4,drop,0.0,False,False,1,9,0,
39,4,drop,0.0,False,False,1,9,0,
40,4,drop,0.0,False,False,1,9,0,
41,4,drop,0.0,False,False,1,9,0,
42,4,drop,0.0,False,False,1,9,0,
43,4,drop,0.0,False,False,1,9,0,
44,4,drop,0.0,False,False,1,9,0,
45,4,drop,0.0,False,False,1,9,0,
46,4,drop,0.0,False,False,1,9,0,
47,4,drop,0.0,False,False,1,9,0,
48,4,drop,0.0,False,False,1,9,0,
49,4,drop,0.0,False,False,1,9,0,
50,4,drop,0.0,False,False,1,9,0,
51,4,drop,0.0,False,False,1,9,0,
52,4,drop,0.0,False,False,1,9,0,
53,4,drop,0.0,False,False,1,9,0,
54,4,drop,0.0,False,False,1,9,0,
55,4,drop,0.0,False,False,1,9,0,
56,4,drop,0.0,False,False,1,9,0,
57,4,drop,0.0,False,False,1,9,0,
58,4,drop,0.0,False,False,1,9,0,
59,4,drop,0.0,False,False,1,9,0,
60,4,drop,0.0,False,False,1,9,0,
61,4,drop,0.0,False,False,1,9,0,
62,4,drop,0.0,False,False,1,9,0,
63,4,drop,0.0,False,False,1,9,0,
64,4,drop,0.0,False,False,1,9,0,
65,4,drop,0.0,False,False,1,9,0,
66,4,drop,0.0,False,False,1,9,0,
67,4,drop,0.0,False,False,1,9,0,
68,4,drop,0.0,False,False,1,9,0,
69,4,drop,0.0,False,False,1,9,0,
70,4,drop,0.0,False,False,1,9,0,
71,4,drop,0.0,False,False,1,9,0,
72,4,drop,0.0,False,False,1,9,0,
73,4,drop,0.0,False,False,1,9,0,
74,4,drop,0.0,False,False,1,9,0,
75,4,drop,0.0,False,False,1,9,0,
76,4,drop,0.0,False,False,1,9,0,
77,4,drop,0.0,False,False,1,9,0,
78,4,drop,0.0,False,False,1,9,0,
79,4,drop,0.0,False,False,1,9,0,
80,4,drop,0.0,False,False,1,9,0,
81,4,drop,0.0,False,False,1,9,0,
82,4,drop,0.0,False,False,1,9,0,
83,4,drop,0.0,False,False,1,9,0,
84,4,drop,0.0,False,False,1,9,0,
85,4,drop,0.0,False,False,1,9,0,
86,4,drop,0.0,False,False,1,9,0,
87,4,drop,0.0,False,False,1,9,0,
88,4,drop,0.0,False,False,1,9,0,
89,4,drop,0.0,False,False,1,9,0,
90,4,drop,0.0,False,False,1,9,0,
91,4,drop,0.0,False,False,1,9,0,
92,4,drop,0.0,False,False,1,9,0,
93,4,drop,0.0,False,False,1,9,0,
94,4,drop,0.0,False,False,1,9,0,
95,4,drop,0.0,False,False,1,9,0,
96,4,drop,0.0,False,False,1,9,0,
97,4,drop,0.0,False,False,1,9,0,
98,4,drop,0.0,False,False,1,9,0,
99,4,drop,0.0,False,False,1,9,0,
100,4,drop,0.0,False,False,1,9,0,
101,4,drop,0.0,False,False,1,9,0,
102,4,drop,0.0,False,False,1,9,0,
103,4,drop,0.0,False,False,1,9,0,
104,4,drop,0.0,False,False,1,9,0,
105,4,drop,0.0,False,False,1,9,0,
106,4,drop,0.0,False,False,1,9,0,
107,4,drop,0.0,False,False,1,9,0,
108,4,drop,0.0,False,False,1,9,0,
109,4,drop,0.0,False,False,1,9,0,
110,4,drop,0.0,False,False,1,9,0,
111,4,drop,0.0,False,False,1,9,0,
112,4,drop,0.0,False,False,1,9,0,
113,4,drop,0.0,False,False,1,9,0,
114,4,drop,0.0,False,False,1,9,0,
115,4,drop,0.0,False,False,1,9,0,
116,4,drop,0.0,False,False,1,9,0,
117,4,drop,0.0,False,False,1,9,0,
118,4,drop,0.0,False,False,1,9,0,
119,4,drop,0.0,False,False,1,9,0,
120,4,drop,0.0,False,False,1,9,0,
121,4,drop,0.0,False,False,1,9,0,
122,4,drop,0.0,False,False,1,9,0,
123,4,drop,0.0,False,False,1,9,0,
124,4,drop,0.0,False,False,1,9,0,
125,4,drop,0.0,False,False,1,9,0,
126,4,drop,0.0,False,False,1,9,0,
127,4,drop,0.0,False,False,1,9,0,
128,4,drop,0.0,False,False,1,9,0,
129,4,drop,0.0,False,False,1,9,0,
130,4,drop,0.0,False,False,1,9,0,
131,4,drop,0.0,False,False,1,9,0,
132,4,drop,0.0,False,False,1,9,0,
133,4,drop,0.0,False,False,1,9,0,
134,4,drop,0.0,False,False,1,9,0,
135,4,drop,0.0,False,False,1,9,0,
136,4,drop,0.0,False,False,1,9,0,
137,4,drop,0.0,False,False,1,9,0,
138,4,drop,0.0,False,False,1,9,0,
139,4,drop,0.0,False,False,1,9,0,
140,4,drop,0.0,False,False,1,9,0,
141,4,drop,0.0,False,False,1,9,0,
142,4,drop,0.0,False,False,1,9,0,
143,4,drop,0.0,False,False,1,9,0,
144,4,drop,0.0,False,False,1,9,0,
145,4,drop,0.0,False,False,1,9,0,
146,4,drop,0.0,False,False,1,9,0,
147,4,drop,0.0,False,False,1,9,0,
148,4,drop,0.0,False,False,1,9,0,
149,4,drop,0.0,False,False,1,9,0,
150,4,drop,0.0,False,False,1,9,0,
151,4,drop,0.0,False,False,1,9,0,
152,4,drop,0.0,False,False,1,9,0,
153,4,drop,0.0,False,False,1,9,0,
154,4,drop,0.0,False,False,1,9,0,
155,4,drop,0.0,False,False,1,9,0,
156,4,drop,0.0,False,False,1,9,0,
157,4,drop,0.0,False,False,1,9,0,
158,4,drop,0.0,False,False,1,9,0,
159,4,drop,0.0,False,False,1,9,0,
160,4,drop,0.0,False,False,1,9,0,
161,4,drop,0.0,False,False,1,9,0,
162,4,drop,0.0,False,False,1,9,0,
163,4,drop,0.0,False,False,1,9,0,
164,4,drop,0.0,False,False,1,9,0,
165,4,drop,0.0,False,False,1,9,0,
166,4,drop,0.0,False,False,1,9,0,
167,4,drop,0.0,False,False,1,9,0,
168,4,drop,0.0,False,False,1,9,0,
169,4,drop,0.0,False,False,1,9,0,
170,4,drop,0.0,False,False,1,9,0,
171,4,drop,0.0,False,False,1,9,0,
172,4,drop,0.0,False,False,1,9,0,
