step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
2,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
3,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
4,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
5,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
6,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
7,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
8,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
9,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
10,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
11,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
12,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
13,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
14,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
15,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
16,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
17,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
18,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
19,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
20,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
21,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
22,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
23,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
24,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
25,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
26,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
27,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
28,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
29,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
30,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
31,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,1,
