step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,6,1,
2,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,6,2,
3,3,pickup,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,6,2,key
4,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,2,key
5,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,3,key
6,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,5,3,key
7,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,4,3,key
8,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,3,3,key
9,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,2,3,key
10,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,1,3,key
11,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,1,2,key
12,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,key
13,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,1,key
14,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,2,1,key
15,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,2,0,key
16,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,2,0,key
17,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,2,0,key
18,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,2,0,key
19,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,4,2,0,key
20,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,2,0,key
21,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,2,1,key
22,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,3,1,key
23,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,4,1,key
24,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,5,1,key
25,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,6,1,key
26,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,6,0,key
27,2,forward,0.96203125,0.96203125,0.0,0.96203125,0.0,1.0,True,False,6,6,0,key
