step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,1,right,0.0,0.0,0.0013766362331807615,0.0013766362331807615,0.013766362331807613,1.0,False,False,1,4,1,
2,1,right,0.0,0.0,0.0013640179298818112,0.0013640179298818112,0.013640179298818111,1.0,False,False,1,4,2,
3,1,right,0.0,0.0,0.00023273960687220097,0.00023273960687220097,0.0023273960687220097,1.0,False,False,1,4,3,
4,0,left,0.0,0.0,0.00016457175370305778,0.00016457175370305778,0.0023273960687220097,0.7071067811865475,False,False,1,4,2,
5,1,right,0.0,0.0,0.00016457175370305778,0.00016457175370305778,0.0023273960687220097,0.7071067811865475,False,False,1,4,3,
6,0,left,0.0,0.0,0.00013437226880341768,0.00013437226880341768,0.0023273960687220097,0.5773502691896258,False,False,1,4,2,
7,1,right,0.0,0.0,0.00013437226880341768,0.00013437226880341768,0.0023273960687220097,0.5773502691896258,False,False,1,4,3,
8,0,left,0.0,0.0,0.00011636980343610048,0.00011636980343610048,0.0023273960687220097,0.5,False,False,1,4,2,
9,1,right,0.0,0.0,0.00011636980343610048,0.00011636980343610048,0.0023273960687220097,0.5,False,False,1,4,3,
10,0,left,0.0,0.0,0.00010408431990072131,0.00010408431990072131,0.0023273960687220097,0.4472135954999579,False,False,1,4,2,
11,1,right,0.0,0.0,0.00010408431990072131,0.00010408431990072131,0.0023273960687220097,0.4472135954999579,False,False,1,4,3,
12,0,left,0.0,0.0,9.501554886810483e-05,9.501554886810483e-05,0.0023273960687220097,0.4082482904638631,False,False,1,4,2,
13,1,right,0.0,0.0,9.501554886810483e-05,9.501554886810483e-05,0.0023273960687220097,0.4082482904638631,False,False,1,4,3,
14,0,left,0.0,0.0,8.796729962341488e-05,8.796729962341488e-05,0.0023273960687220097,0.3779644730092272,False,False,1,4,2,
15,1,right,0.0,0.0,8.796729962341488e-05,8.796729962341488e-05,0.0023273960687220097,0.3779644730092272,False,False,1,4,3,
16,0,left,0.0,0.0,8.228587685152889e-05,8.228587685152889e-05,0.0023273960687220097,0.35355339059327373,False,False,1,4,2,
17,1,right,0.0,0.0,8.228587685152889e-05,8.228587685152889e-05,0.0023273960687220097,0.35355339059327373,False,False,1,4,3,
18,0,left,0.0,0.0,7.757986895740032e-05,7.757986895740032e-05,0.0023273960687220097,0.3333333333333333,False,False,1,4,2,
19,1,right,0.0,0.0,7.757986895740032e-05,7.757986895740032e-05,0.0023273960687220097,0.3333333333333333,False,False,1,4,3,
20,0,left,0.0,0.0,7.359872688539326e-05,7.359872688539326e-05,0.0023273960687220097,0.31622776601683794,False,False,1,4,2,
21,1,right,0.0,0.0,7.359872688539326e-05,7.359872688539326e-05,0.0023273960687220097,0.31622776601683794,False,False,1,4,3,
22,0,left,0.0,0.0,7.017363095656038e-05,7.017363095656038e-05,0.0023273960687220097,0.30151134457776363,False,False,1,4,2,
23,1,right,0.0,0.0,7.017363095656038e-05,7.017363095656038e-05,0.0023273960687220097,0.30151134457776363,False,False,1,4,3,
24,0,left,0.0,0.0,6.718613440170884e-05,6.718613440170884e-05,0.0023273960687220097,0.2886751345948129,False,False,1,4,2,
25,1,right,0.0,0.0,6.718613440170884e-05,6.718613440170884e-05,0.0023273960687220097,0.2886751345948129,False,False,1,4,3,
26,0,left,0.0,0.0,6.455035181716085e-05,6.455035181716085e-05,0.0023273960687220097,0.2773500981126146,False,False,1,4,2,
27,1,right,0.0,0.0,6.455035181716085e-05,6.455035181716085e-05,0.0023273960687220097,0.2773500981126146,False,False,1,4,3,
28,0,left,0.0,0.0,6.220227805897593e-05,6.220227805897593e-05,0.0023273960687220097,0.2672612419124244,False,False,1,4,2,
29,1,right,0.0,0.0,6.220227805897593e-05,6.220227805897593e-05,0.0023273960687220097,0.2672612419124244,False,False,1,4,3,
30,0,left,0.0,0.0,6.0093106003478174e-05,6.0093106003478174e-05,0.0023273960687220097,0.2581988897471611,False,False,1,4,2,
31,1,right,0.0,0.0,6.0093106003478174e-05,6.0093106003478174e-05,0.0023273960687220097,0.2581988897471611,False,False,1,4,3,
