step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,3,
2,3,pickup,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,3,key
3,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,2,key
4,1,right,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,False,False,1,4,3,key
5,0,left,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,False,False,1,4,2,key
6,1,right,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,False,1,4,3,key
7,0,left,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,False,1,4,2,key
8,1,right,0.0,0.0,0.0,0.0,0.0,0.5,False,False,1,4,3,key
9,0,left,0.0,0.0,0.0,0.0,0.0,0.5,False,False,1,4,2,key
10,1,right,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,False,False,1,4,3,key
11,0,left,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,False,False,1,4,2,key
12,1,right,0.0,0.0,0.0,0.0,0.0,0.4082482904638631,False,False,1,4,3,key
13,0,left,0.0,0.0,0.0,0.0,0.0,0.4082482904638631,False,False,1,4,2,key
14,1,right,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,False,False,1,4,3,key
15,0,left,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,False,False,1,4,2,key
16,1,right,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,False,False,1,4,3,key
17,0,left,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,False,False,1,4,2,key
18,1,right,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,False,False,1,4,3,key
19,0,left,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,False,False,1,4,2,key
20,1,right,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,False,False,1,4,3,key
21,0,left,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,False,False,1,4,2,key
22,1,right,0.0,0.0,0.0,0.0,0.0,0.30151134457776363,False,False,1,4,3,key
23,0,left,0.0,0.0,0.0,0.0,0.0,0.30151134457776363,False,False,1,4,2,key
24,1,right,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,False,False,1,4,3,key
25,0,left,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,False,False,1,4,2,key
26,1,right,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,False,False,1,4,3,key
27,0,left,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,False,False,1,4,2,key
28,1,right,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,False,False,1,4,3,key
29,0,left,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,False,False,1,4,2,key
30,1,right,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,False,False,1,4,3,key
31,0,left,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,False,False,1,4,2,key
32,1,right,0.0,0.0,0.0,0.0,0.0,0.25,False,False,1,4,3,key
33,0,left,0.0,0.0,0.0,0.0,0.0,0.25,False,False,1,4,2,key
