step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,5,3,
2,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,5,0,
3,0,left,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,False,False,3,5,3,
4,1,right,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,False,False,3,5,0,
5,0,left,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,False,3,5,3,
6,1,right,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,False,3,5,0,
7,0,left,0.0,0.0,0.0,0.0,0.0,0.5,False,False,3,5,3,
8,1,right,0.0,0.0,0.0,0.0,0.0,0.5,False,False,3,5,0,
9,0,left,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,False,False,3,5,3,
10,1,right,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,False,False,3,5,0,
11,0,left,0.0,0.0,0.0,0.0,0.0,0.4082482904638631,False,False,3,5,3,
12,1,right,0.0,0.0,0.0,0.0,0.0,0.4082482904638631,False,False,3,5,0,
13,0,left,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,False,False,3,5,3,
14,1,right,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,False,False,3,5,0,
15,0,left,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,False,False,3,5,3,
16,1,right,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,False,False,3,5,0,
17,0,left,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,False,False,3,5,3,
18,1,right,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,False,False,3,5,0,
19,0,left,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,False,False,3,5,3,
20,1,right,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,False,False,3,5,0,
21,0,left,0.0,0.0,0.0,0.0,0.0,0.30151134457776363,False,False,3,5,3,
22,1,right,0.0,0.0,0.0,0.0,0.0,0.30151134457776363,False,False,3,5,0,
23,0,left,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,False,False,3,5,3,
