step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,6,0,
2,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,0,
3,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
4,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
5,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
6,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
7,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
8,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
9,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
10,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
11,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
12,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
13,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
14,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
15,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
16,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
17,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
18,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
19,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
20,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
21,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
22,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
23,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
24,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
25,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
26,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
27,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
28,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
29,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
30,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
31,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
32,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
33,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
34,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
35,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
36,6,done,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,1,
