step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,5,2,
2,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,5,3,
3,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,3,
4,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,4,0,
5,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,4,0,
6,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,4,0,
7,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,4,1,
8,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,5,1,
9,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,6,1,
10,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,6,2,
11,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,2,
12,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,6,3,
13,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,5,3,
14,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,4,3,
15,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,3,3,
16,3,pickup,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,3,3,key
17,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,2,3,0,key
18,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,3,0,key
19,5,toggle,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,3,0,key
20,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,4,3,0,key
21,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,5,3,0,key
22,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,6,3,0,key
23,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,6,3,1,key
24,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,6,4,1,key
25,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,6,5,1,key
26,2,forward,0.9634375,0.9634375,0.0,0.9634375,0.0,1.0,True,False,6,6,1,key
