algorithm	seed	checkpoint_step	success_rate	run_dir	eval_seed
dqn_1step	0	1000000	0.0000	outputs/8x8_eps1m/2026-05-31_13-41-33/dqn_1step/seed0	150000
dqn_1step	1	1000000	0.0000	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed1	250000
dqn_1step	2	1000000	0.0000	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed2	350000
dqn_1step	3	1000000	0.0000	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed3	450000
dqn_1step	4	1000000	0.0000	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_1step/seed4	550000
dqn_nstep	0	910000	0.5600	outputs/8x8_eps1m/2026-05-31_13-41-33/dqn_nstep/seed0	150000
dqn_nstep	1	970000	0.2700	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed1	250000
dqn_nstep	2	1000000	0.0000	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed2	350000
dqn_nstep	3	920000	0.2900	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed3	450006
dqn_nstep	4	1000000	0.0000	outputs/8x8_eps1m_seeds/2026-06-01_03-00-26/dqn_nstep/seed4	550000
dqn_ride_1step	0	870000	0.0800	outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed0	150001
dqn_ride_1step	1	1000000	0.0000	outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed1	250000
dqn_ride_1step	2	1000000	0.0000	outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed2	350000
dqn_ride_1step	3	1000000	0.0000	outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed3	450000
dqn_ride_1step	4	440000	0.0500	outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed4	550007
dqn_ride_nstep	0	870000	0.7000	outputs/8x8_ride_recompute_normclip/2026-06-03_14-31-06/doorkey_8x8/dqn_ride_nstep/seed0	150000
dqn_ride_nstep	1	910000	0.8100	outputs/8x8_ride_recompute_normclip/2026-06-03_14-31-06/doorkey_8x8/dqn_ride_nstep/seed1	250000
dqn_ride_nstep	2	610000	0.0200	outputs/8x8_ride_recompute_normclip/2026-06-03_14-31-06/doorkey_8x8/dqn_ride_nstep/seed2	350064
dqn_ride_nstep	3	840000	0.9100	outputs/8x8_ride_recompute_normclip/2026-06-03_14-31-06/doorkey_8x8/dqn_ride_nstep/seed3	450000
dqn_ride_nstep	4	890000	0.0900	outputs/8x8_ride_recompute_normclip/2026-06-03_14-31-06/doorkey_8x8/dqn_ride_nstep/seed4	550007
