step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,1,right,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
2,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
3,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
4,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
5,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
6,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
7,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
8,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
9,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
10,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
11,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
12,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
13,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
14,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
15,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
16,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
17,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
18,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
19,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
20,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
21,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
22,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
23,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
24,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
25,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
26,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
27,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
28,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
29,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
30,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
31,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
32,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
33,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
34,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
35,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
36,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
37,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
38,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
39,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
40,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
41,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
42,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
43,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
44,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
45,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1,1,2,
