step,action,action_name,reward,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,False,False,1,4,3,
2,6,done,0.0,False,False,1,4,3,
3,6,done,0.0,False,False,1,4,3,
4,6,done,0.0,False,False,1,4,3,
5,6,done,0.0,False,False,1,4,3,
6,6,done,0.0,False,False,1,4,3,
7,6,done,0.0,False,False,1,4,3,
8,6,done,0.0,False,False,1,4,3,
9,6,done,0.0,False,False,1,4,3,
10,6,done,0.0,False,False,1,4,3,
11,6,done,0.0,False,False,1,4,3,
12,6,done,0.0,False,False,1,4,3,
13,6,done,0.0,False,False,1,4,3,
14,6,done,0.0,False,False,1,4,3,
15,6,done,0.0,False,False,1,4,3,
16,6,done,0.0,False,False,1,4,3,
17,6,done,0.0,False,False,1,4,3,
18,6,done,0.0,False,False,1,4,3,
19,6,done,0.0,False,False,1,4,3,
20,6,done,0.0,False,False,1,4,3,
21,6,done,0.0,False,False,1,4,3,
22,6,done,0.0,False,False,1,4,3,
23,6,done,0.0,False,False,1,4,3,
24,6,done,0.0,False,False,1,4,3,
25,6,done,0.0,False,False,1,4,3,
26,6,done,0.0,False,False,1,4,3,
27,6,done,0.0,False,False,1,4,3,
28,6,done,0.0,False,False,1,4,3,
29,6,done,0.0,False,False,1,4,3,
30,6,done,0.0,False,False,1,4,3,
31,6,done,0.0,False,False,1,4,3,
32,6,done,0.0,False,False,1,4,3,
33,6,done,0.0,False,False,1,4,3,
34,6,done,0.0,False,False,1,4,3,
35,6,done,0.0,False,False,1,4,3,
36,6,done,0.0,False,False,1,4,3,
37,6,done,0.0,False,False,1,4,3,
38,6,done,0.0,False,False,1,4,3,
39,6,done,0.0,False,False,1,4,3,
40,6,done,0.0,False,False,1,4,3,
41,6,done,0.0,False,False,1,4,3,
42,6,done,0.0,False,False,1,4,3,
43,6,done,0.0,False,False,1,4,3,
44,6,done,0.0,False,False,1,4,3,
45,6,done,0.0,False,False,1,4,3,
46,6,done,0.0,False,False,1,4,3,
47,6,done,0.0,False,False,1,4,3,
48,6,done,0.0,False,False,1,4,3,
49,6,done,0.0,False,False,1,4,3,
50,6,done,0.0,False,False,1,4,3,
51,6,done,0.0,False,False,1,4,3,
52,6,done,0.0,False,False,1,4,3,
53,6,done,0.0,False,False,1,4,3,
54,6,done,0.0,False,False,1,4,3,
55,6,done,0.0,False,False,1,4,3,
56,6,done,0.0,False,False,1,4,3,
57,6,done,0.0,False,False,1,4,3,
58,6,done,0.0,False,False,1,4,3,
59,6,done,0.0,False,False,1,4,3,
60,6,done,0.0,False,False,1,4,3,
61,6,done,0.0,False,False,1,4,3,
62,6,done,0.0,False,False,1,4,3,
63,6,done,0.0,False,False,1,4,3,
64,6,done,0.0,False,False,1,4,3,
65,6,done,0.0,False,False,1,4,3,
66,6,done,0.0,False,False,1,4,3,
67,6,done,0.0,False,False,1,4,3,
68,6,done,0.0,False,False,1,4,3,
69,6,done,0.0,False,False,1,4,3,
70,6,done,0.0,False,False,1,4,3,
71,6,done,0.0,False,False,1,4,3,
72,6,done,0.0,False,False,1,4,3,
73,6,done,0.0,False,False,1,4,3,
74,6,done,0.0,False,False,1,4,3,
75,6,done,0.0,False,False,1,4,3,
76,6,done,0.0,False,False,1,4,3,
77,6,done,0.0,False,False,1,4,3,
78,6,done,0.0,False,False,1,4,3,
79,6,done,0.0,False,False,1,4,3,
80,6,done,0.0,False,False,1,4,3,
81,6,done,0.0,False,False,1,4,3,
82,6,done,0.0,False,False,1,4,3,
83,6,done,0.0,False,False,1,4,3,
84,6,done,0.0,False,False,1,4,3,
85,6,done,0.0,False,False,1,4,3,
86,6,done,0.0,False,False,1,4,3,
87,6,done,0.0,False,False,1,4,3,
88,6,done,0.0,False,False,1,4,3,
89,6,done,0.0,False,False,1,4,3,
90,6,done,0.0,False,False,1,4,3,
91,6,done,0.0,False,False,1,4,3,
92,6,done,0.0,False,False,1,4,3,
93,6,done,0.0,False,False,1,4,3,
94,6,done,0.0,False,False,1,4,3,
95,6,done,0.0,False,False,1,4,3,
96,6,done,0.0,False,False,1,4,3,
97,6,done,0.0,False,False,1,4,3,
98,6,done,0.0,False,False,1,4,3,
99,6,done,0.0,False,False,1,4,3,
100,6,done,0.0,False,False,1,4,3,
101,6,done,0.0,False,False,1,4,3,
102,6,done,0.0,False,False,1,4,3,
103,6,done,0.0,False,False,1,4,3,
104,6,done,0.0,False,False,1,4,3,
105,6,done,0.0,False,False,1,4,3,
106,6,done,0.0,False,False,1,4,3,
107,6,done,0.0,False,False,1,4,3,
108,6,done,0.0,False,False,1,4,3,
109,6,done,0.0,False,False,1,4,3,
110,6,done,0.0,False,False,1,4,3,
111,6,done,0.0,False,False,1,4,3,
112,6,done,0.0,False,False,1,4,3,
113,6,done,0.0,False,False,1,4,3,
114,6,done,0.0,False,False,1,4,3,
115,6,done,0.0,False,False,1,4,3,
116,6,done,0.0,False,False,1,4,3,
117,6,done,0.0,False,False,1,4,3,
118,6,done,0.0,False,False,1,4,3,
119,6,done,0.0,False,False,1,4,3,
120,6,done,0.0,False,False,1,4,3,
121,6,done,0.0,False,False,1,4,3,
122,6,done,0.0,False,False,1,4,3,
123,6,done,0.0,False,False,1,4,3,
124,6,done,0.0,False,False,1,4,3,
125,6,done,0.0,False,False,1,4,3,
126,6,done,0.0,False,False,1,4,3,
127,6,done,0.0,False,False,1,4,3,
128,6,done,0.0,False,False,1,4,3,
129,6,done,0.0,False,False,1,4,3,
130,6,done,0.0,False,False,1,4,3,
131,6,done,0.0,False,False,1,4,3,
132,6,done,0.0,False,False,1,4,3,
133,6,done,0.0,False,False,1,4,3,
134,6,done,0.0,False,False,1,4,3,
135,6,done,0.0,False,False,1,4,3,
136,6,done,0.0,False,False,1,4,3,
137,6,done,0.0,False,False,1,4,3,
138,6,done,0.0,False,False,1,4,3,
139,6,done,0.0,False,False,1,4,3,
140,6,done,0.0,False,False,1,4,3,
141,6,done,0.0,False,False,1,4,3,
142,6,done,0.0,False,False,1,4,3,
143,6,done,0.0,False,False,1,4,3,
144,6,done,0.0,False,False,1,4,3,
145,6,done,0.0,False,False,1,4,3,
146,6,done,0.0,False,False,1,4,3,
147,6,done,0.0,False,False,1,4,3,
148,6,done,0.0,False,False,1,4,3,
149,6,done,0.0,False,False,1,4,3,
150,6,done,0.0,False,False,1,4,3,
151,6,done,0.0,False,False,1,4,3,
152,6,done,0.0,False,False,1,4,3,
153,6,done,0.0,False,False,1,4,3,
154,6,done,0.0,False,False,1,4,3,
155,6,done,0.0,False,False,1,4,3,
156,6,done,0.0,False,False,1,4,3,
157,6,done,0.0,False,False,1,4,3,
158,6,done,0.0,False,False,1,4,3,
159,6,done,0.0,False,False,1,4,3,
160,6,done,0.0,False,False,1,4,3,
161,6,done,0.0,False,False,1,4,3,
162,6,done,0.0,False,False,1,4,3,
163,6,done,0.0,False,False,1,4,3,
164,6,done,0.0,False,False,1,4,3,
165,6,done,0.0,False,False,1,4,3,
166,6,done,0.0,False,False,1,4,3,
167,6,done,0.0,False,False,1,4,3,
168,6,done,0.0,False,False,1,4,3,
169,6,done,0.0,False,False,1,4,3,
170,6,done,0.0,False,False,1,4,3,
171,6,done,0.0,False,False,1,4,3,
172,6,done,0.0,False,False,1,4,3,
173,6,done,0.0,False,False,1,4,3,
174,6,done,0.0,False,False,1,4,3,
175,6,done,0.0,False,False,1,4,3,
176,6,done,0.0,False,False,1,4,3,
177,6,done,0.0,False,False,1,4,3,
178,6,done,0.0,False,False,1,4,3,
179,6,done,0.0,False,False,1,4,3,
180,6,done,0.0,False,False,1,4,3,
181,6,done,0.0,False,False,1,4,3,
182,6,done,0.0,False,False,1,4,3,
183,6,done,0.0,False,False,1,4,3,
184,6,done,0.0,False,False,1,4,3,
185,6,done,0.0,False,False,1,4,3,
186,6,done,0.0,False,False,1,4,3,
187,6,done,0.0,False,False,1,4,3,
188,6,done,0.0,False,False,1,4,3,
189,6,done,0.0,False,False,1,4,3,
190,6,done,0.0,False,False,1,4,3,
191,6,done,0.0,False,False,1,4,3,
192,6,done,0.0,False,False,1,4,3,
193,6,done,0.0,False,False,1,4,3,
194,6,done,0.0,False,False,1,4,3,
195,6,done,0.0,False,False,1,4,3,
196,6,done,0.0,False,False,1,4,3,
197,6,done,0.0,False,False,1,4,3,
198,6,done,0.0,False,False,1,4,3,
199,6,done,0.0,False,False,1,4,3,
200,6,done,0.0,False,False,1,4,3,
