step,action,action_name,reward,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,False,False,1,3,3,
2,4,drop,0.0,False,False,1,3,3,
3,4,drop,0.0,False,False,1,3,3,
4,4,drop,0.0,False,False,1,3,3,
5,4,drop,0.0,False,False,1,3,3,
6,4,drop,0.0,False,False,1,3,3,
7,4,drop,0.0,False,False,1,3,3,
8,4,drop,0.0,False,False,1,3,3,
9,4,drop,0.0,False,False,1,3,3,
10,4,drop,0.0,False,False,1,3,3,
11,4,drop,0.0,False,False,1,3,3,
12,4,drop,0.0,False,False,1,3,3,
13,4,drop,0.0,False,False,1,3,3,
14,4,drop,0.0,False,False,1,3,3,
15,4,drop,0.0,False,False,1,3,3,
16,4,drop,0.0,False,False,1,3,3,
17,4,drop,0.0,False,False,1,3,3,
18,4,drop,0.0,False,False,1,3,3,
19,4,drop,0.0,False,False,1,3,3,
20,4,drop,0.0,False,False,1,3,3,
21,4,drop,0.0,False,False,1,3,3,
22,4,drop,0.0,False,False,1,3,3,
23,4,drop,0.0,False,False,1,3,3,
24,4,drop,0.0,False,False,1,3,3,
25,4,drop,0.0,False,False,1,3,3,
26,4,drop,0.0,False,False,1,3,3,
27,4,drop,0.0,False,False,1,3,3,
28,4,drop,0.0,False,False,1,3,3,
29,4,drop,0.0,False,False,1,3,3,
30,4,drop,0.0,False,False,1,3,3,
31,4,drop,0.0,False,False,1,3,3,
32,4,drop,0.0,False,False,1,3,3,
33,4,drop,0.0,False,False,1,3,3,
34,4,drop,0.0,False,False,1,3,3,
35,4,drop,0.0,False,False,1,3,3,
36,4,drop,0.0,False,False,1,3,3,
37,4,drop,0.0,False,False,1,3,3,
38,4,drop,0.0,False,False,1,3,3,
39,4,drop,0.0,False,False,1,3,3,
40,4,drop,0.0,False,False,1,3,3,
41,4,drop,0.0,False,False,1,3,3,
42,4,drop,0.0,False,False,1,3,3,
43,4,drop,0.0,False,False,1,3,3,
44,4,drop,0.0,False,False,1,3,3,
45,4,drop,0.0,False,False,1,3,3,
46,4,drop,0.0,False,False,1,3,3,
47,4,drop,0.0,False,False,1,3,3,
48,4,drop,0.0,False,False,1,3,3,
49,4,drop,0.0,False,False,1,3,3,
50,4,drop,0.0,False,False,1,3,3,
51,4,drop,0.0,False,False,1,3,3,
52,4,drop,0.0,False,False,1,3,3,
53,4,drop,0.0,False,False,1,3,3,
54,4,drop,0.0,False,False,1,3,3,
55,4,drop,0.0,False,False,1,3,3,
56,4,drop,0.0,False,False,1,3,3,
57,4,drop,0.0,False,False,1,3,3,
58,4,drop,0.0,False,False,1,3,3,
59,4,drop,0.0,False,False,1,3,3,
60,4,drop,0.0,False,False,1,3,3,
61,4,drop,0.0,False,False,1,3,3,
62,4,drop,0.0,False,False,1,3,3,
63,4,drop,0.0,False,False,1,3,3,
64,4,drop,0.0,False,False,1,3,3,
65,4,drop,0.0,False,False,1,3,3,
66,4,drop,0.0,False,False,1,3,3,
67,4,drop,0.0,False,False,1,3,3,
68,4,drop,0.0,False,False,1,3,3,
69,4,drop,0.0,False,False,1,3,3,
70,4,drop,0.0,False,False,1,3,3,
71,4,drop,0.0,False,False,1,3,3,
72,4,drop,0.0,False,False,1,3,3,
73,4,drop,0.0,False,False,1,3,3,
74,4,drop,0.0,False,False,1,3,3,
75,4,drop,0.0,False,False,1,3,3,
76,4,drop,0.0,False,False,1,3,3,
77,4,drop,0.0,False,False,1,3,3,
78,4,drop,0.0,False,False,1,3,3,
79,4,drop,0.0,False,False,1,3,3,
80,4,drop,0.0,False,False,1,3,3,
81,4,drop,0.0,False,False,1,3,3,
82,4,drop,0.0,False,False,1,3,3,
83,4,drop,0.0,False,False,1,3,3,
84,4,drop,0.0,False,False,1,3,3,
85,4,drop,0.0,False,False,1,3,3,
86,4,drop,0.0,False,False,1,3,3,
87,4,drop,0.0,False,False,1,3,3,
88,4,drop,0.0,False,False,1,3,3,
89,4,drop,0.0,False,False,1,3,3,
90,4,drop,0.0,False,False,1,3,3,
91,4,drop,0.0,False,False,1,3,3,
92,4,drop,0.0,False,False,1,3,3,
93,4,drop,0.0,False,False,1,3,3,
94,4,drop,0.0,False,False,1,3,3,
95,4,drop,0.0,False,False,1,3,3,
96,4,drop,0.0,False,False,1,3,3,
97,4,drop,0.0,False,False,1,3,3,
98,4,drop,0.0,False,False,1,3,3,
99,4,drop,0.0,False,False,1,3,3,
100,4,drop,0.0,False,False,1,3,3,
101,4,drop,0.0,False,False,1,3,3,
102,4,drop,0.0,False,False,1,3,3,
103,4,drop,0.0,False,False,1,3,3,
104,4,drop,0.0,False,False,1,3,3,
105,4,drop,0.0,False,False,1,3,3,
106,4,drop,0.0,False,False,1,3,3,
107,4,drop,0.0,False,False,1,3,3,
108,4,drop,0.0,False,False,1,3,3,
109,4,drop,0.0,False,False,1,3,3,
110,4,drop,0.0,False,False,1,3,3,
111,4,drop,0.0,False,False,1,3,3,
112,4,drop,0.0,False,False,1,3,3,
113,4,drop,0.0,False,False,1,3,3,
114,4,drop,0.0,False,False,1,3,3,
115,4,drop,0.0,False,False,1,3,3,
116,4,drop,0.0,False,False,1,3,3,
117,4,drop,0.0,False,False,1,3,3,
118,4,drop,0.0,False,False,1,3,3,
119,4,drop,0.0,False,False,1,3,3,
120,4,drop,0.0,False,False,1,3,3,
121,4,drop,0.0,False,False,1,3,3,
122,4,drop,0.0,False,False,1,3,3,
123,4,drop,0.0,False,False,1,3,3,
124,4,drop,0.0,False,False,1,3,3,
125,4,drop,0.0,False,False,1,3,3,
126,4,drop,0.0,False,False,1,3,3,
127,4,drop,0.0,False,False,1,3,3,
128,4,drop,0.0,False,False,1,3,3,
129,4,drop,0.0,False,False,1,3,3,
130,4,drop,0.0,False,False,1,3,3,
131,4,drop,0.0,False,False,1,3,3,
132,4,drop,0.0,False,False,1,3,3,
133,4,drop,0.0,False,False,1,3,3,
134,4,drop,0.0,False,False,1,3,3,
135,4,drop,0.0,False,False,1,3,3,
136,4,drop,0.0,False,False,1,3,3,
137,4,drop,0.0,False,False,1,3,3,
138,4,drop,0.0,False,False,1,3,3,
139,4,drop,0.0,False,False,1,3,3,
140,4,drop,0.0,False,False,1,3,3,
141,4,drop,0.0,False,False,1,3,3,
142,4,drop,0.0,False,False,1,3,3,
143,4,drop,0.0,False,False,1,3,3,
144,4,drop,0.0,False,False,1,3,3,
145,4,drop,0.0,False,False,1,3,3,
146,4,drop,0.0,False,False,1,3,3,
147,4,drop,0.0,False,False,1,3,3,
148,4,drop,0.0,False,False,1,3,3,
149,4,drop,0.0,False,False,1,3,3,
150,4,drop,0.0,False,False,1,3,3,
151,4,drop,0.0,False,False,1,3,3,
152,4,drop,0.0,False,False,1,3,3,
153,4,drop,0.0,False,False,1,3,3,
154,4,drop,0.0,False,False,1,3,3,
155,4,drop,0.0,False,False,1,3,3,
156,4,drop,0.0,False,False,1,3,3,
157,4,drop,0.0,False,False,1,3,3,
158,4,drop,0.0,False,False,1,3,3,
159,4,drop,0.0,False,False,1,3,3,
160,4,drop,0.0,False,False,1,3,3,
161,4,drop,0.0,False,False,1,3,3,
162,4,drop,0.0,False,False,1,3,3,
163,4,drop,0.0,False,False,1,3,3,
164,4,drop,0.0,False,False,1,3,3,
165,4,drop,0.0,False,False,1,3,3,
166,4,drop,0.0,False,False,1,3,3,
167,4,drop,0.0,False,False,1,3,3,
168,4,drop,0.0,False,False,1,3,3,
169,4,drop,0.0,False,False,1,3,3,
170,4,drop,0.0,False,False,1,3,3,
171,4,drop,0.0,False,False,1,3,3,
172,4,drop,0.0,False,False,1,3,3,
